8e3r	257.84	3.63
8e3x	162.42	0.63
9muw	205.03	2.12
9myf	233.09	2.25
9pxw	149.32	1.31
9q4g	202.4	1.65
9qb3	174.31	2.16
9qd5	201.71	1.81
9qdy	209.64	1.54
9qs8	222.67	2.17
9qt2	222.32	2.69
9qyv	199.2	1.8
9r0z	188.2	1.73
9r6y	190.93	2.58
9rbk	151.08	0.95
9rdz	183.03	2.17
9rfv	164.61	1.81
9rru	189.1	1.78
9rsv	179.31	1.92
9rxp	186.67	2.61
9t8z	225.02	1.53
9t97	228.54	2.1
9tnw	235.12	1.79
9tu1	225.63	2.05
9twg	218.76	2.51
9udq	189.02	2.38
9v50	186.31	1.59
9v6q	188.01	2.0
9v8w	203.72	1.86
9veu	183.1	1.62
9vqe	178.65	1.41
9vy7	168.11	0.64
9w25	220.81	2.79
9w5g	215.07	2.11
9wbc	199.62	2.22
9wdg	207.71	1.97
9wg7	194.19	1.77
9wkk	202.54	2.08
9wnc	213.64	3.1
9wwp	204.14	2.39
9wx8	203.23	3.34
9wxb	206.03	3.51
9x4s	191.83	2.07
9xc2	174.89	1.45
9xdd	185.65	2.22
9xhg	170.75	2.58
9xm8	183.57	2.92
9xrz	181.82	4.7
9xvt	166.05	2.71
9xw1	184.33	2.65
9y6v	188.45	2.04
9ybj	192.82	3.3
9ygq	178.93	2.66
9yqe	169.69	1.69
9yss	173.82	2.01
9ywy	169.18	1.83
9z5p	171.77	2.79
9z72	168.16	1.14
9zbd	171.49	3.43
9zg2	163.69	2.31
9zjf	168.07	2.52
9zms	164.44	2.67
9zzf	150.87	2.45
b3vf	99.65	3.59
b4nv	87.22	4.53
b6gm	61.05	4.86
b7yf	96.92	2.52
bd35	94.92	3.4
bddq	90.88	0.81
bdv1	95.12	0.89
be6q	94.87	0.91
bek8	93.34	1.49
bex1	93.6	1.32
bfb8	55.91	1.04
bfpu	70.87	0.34
bfrs	86.97	1.18
bfsd	67.79	0.64
bg0w	95.43	0.64
bg5s	116.44	0.47
bkh5	86.92	2.65
bs1j	93.28	2.59
bs8t	83.97	4.2
bsjy	78.13	2.83
bsqr	92.86	4.0
c0ry	114.53	0.54
c1f3	102.82	2.23
c29s	121.39	0.5
c2km	159.23	1.48
c2p8	170.52	2.18
c2xm	151.27	3.02
c83d	157.07	2.44
c8nd	168.31	2.73
c8q6	159.2	3.01
c8t5	156.18	4.24
c8t6	156.02	2.8
c8xq	153.3	3.27
cb1s	166.91	3.89
cb36	161.0	3.58
cbef	145.95	1.86
cbjy	144.43	1.43
dhw5	194.17	1.02
dhy4	193.82	1.62
dj3t	187.16	1.6
dj8x	174.66	1.36
djcb	183.84	1.14
djec	185.17	1.15
djef	182.91	0.76
djnd	196.72	2.03
djqp	188.49	1.51
djyj	183.13	1.69
djzs	176.75	0.86
dn0q	168.81	1.22
dn4g	176.14	1.85
dn7k	161.41	1.67
dnde	169.75	1.02
dnfm	159.48	1.7
dng8	165.86	2.64
dnh8	179.46	1.68
dnm3	164.88	0.93
dnru	179.19	1.3
dnzm	146.7	1.72
dp15	164.7	3.0
dp2y	158.7	2.74
dpgz	143.89	1.83
dpjv	165.08	2.28
dpjz	144.15	2.37
dpz7	148.67	2.43
dqb0	166.58	1.73
dqdh	174.19	2.39
dr44	164.02	1.59
dr7t	153.47	1.13
dr9c	144.45	2.56
drm5	157.57	2.13
drmh	165.45	1.92
drtt	151.63	1.28
drzp	146.07	1.6
f04p	141.34	1.65
f2re	129.71	1.64
